Timestamp,What was your undergraduate major?,What type of phone do you have?,How many years ago did you receive your undergraduate degree?,How many hours do you sleep in a typical night?,Rate your proficiency with git/github,Rate your proficiency with Python,Have you ever used SQL?,What is your favorite sport to watch on tv?,What is your ideal outdoor temperature (in Fahrenheit)?,How many US states have you visited?,What is your favorite season?
8/25/2026 8:20:43,Psychology,iPhone,4-6 years,8,3,2,Yes,F1 motorsport,70,8,Fall
8/25/2026 9:35:51,Statistics,iPhone,1-3 years,8,3,4,Yes,N/A,70,16,Fall
8/25/2026 13:43:23,Economics-Business and Applied Mathematics,iPhone,< 1 year,8,3,3,No,Baseball,70,27,Fall
8/25/2026 15:11:38,Data Science (Concentration in Computer Science),iPhone,< 1 year,8,3,4,Yes,Football,73,9,Fall
8/25/2026 15:26:11,Math and Physics,iPhone,1-3 years,8,2,4,Yes,Figure Skating,73,26,Fall
8/25/2026 20:43:55,Analytics,iPhone,< 1 year,7,1,3,Yes,Baseball,70,21,Spring
8/26/2026 10:10:40,Statistics,iPhone,< 1 year,7,4,4,Yes,Basketball,73,37.5,Summer
8/26/2026 10:11:02,Statistics and Media Studies,iPhone,< 1 year,6.5,2,3,No,None,55,20,Winter
8/26/2026 10:11:07,Computer science,iPhone,< 1 year,9,5,4,Yes,Football,64,16,Fall
8/26/2026 10:11:18,Economics,iPhone,< 1 year,5,4,3,Yes,College Hoops,70,7,Summer
8/26/2026 10:11:20,Commerce,iPhone,< 1 year,8.5,1,2,Yes,College football,70,13,Spring
8/26/2026 10:11:25,Economics,iPhone,< 1 year,8,2,2,No,Basketball,75,6,Fall
8/26/2026 10:11:27,Computer Science,iPhone,< 1 year,5,3,3,Yes,Basketball,68,3,Winter
8/26/2026 10:11:35,Computer Science,iPhone,< 1 year,8,4,4,Yes,Basketball,70,27.5,Summer
8/26/2026 10:11:38,Computer Science,iPhone,1-3 years,8,3,3,Yes,Soccer,65,4,Spring
8/26/2026 10:11:47,Biology,Android,< 1 year,7,3,3,Yes,Football,77.5,8,Fall
8/26/2026 10:11:50,Astrophysics,iPhone,< 1 year,7,3,4,Yes,Soccer,78,10,Spring
8/26/2026 10:11:51,Economics,iPhone,4-6 years,8,3,4,Yes,Soccer,80,15,Spring
8/26/2026 10:11:51,Communications,iPhone,10+ years,8,1,2,No,Football,85,47,Fall
8/26/2026 10:11:54,Cognitive Science,Android,< 1 year,7,3,2,Yes,Baseball,74,10,Spring
8/26/2026 10:12:09,Cognitive Science (Computer Science Concentration),iPhone,< 1 year,7,4,4,Yes,Soccer,74,11,Fall
8/26/2026 10:12:14,Economics,iPhone,< 1 year,7,1,1,No,Soccer,70,9,Fall
8/26/2026 10:12:27,Statistics,iPhone,< 1 year,8,2,3,Yes,Ice Hockey,72,8,Spring
8/26/2026 10:12:28,Applied Statistics,iPhone,1-3 years,8,3,3,Yes,Soccer,70,12,Fall
8/26/2026 10:12:43,Economics,Android,7-10 years,7,1,2,No,Volleyball and Basketball,80,20,Spring
8/26/2026 10:13:01,Statistics,iPhone,< 1 year,8,3,4,Yes,Football,75,11,Summer
8/26/2026 10:13:19,Computer Science,iPhone,< 1 year,4.5,5,5,Yes,Mma or hockey,72,22,Winter
8/26/2026 10:13:25,Computational Modeling and Data Analytics,iPhone,< 1 year,8,3,4,Yes,Football,78,14,Summer
8/26/2026 10:13:30,Economics,iPhone,< 1 year,7,3,3,No,Football,72,14,Fall
8/26/2026 10:13:33,Psychology and Economics,iPhone,4-6 years,8,1,2,No,Ice hockey and tennis,63,10,Spring
8/26/2026 10:13:35,Statistics and Economics,iPhone,< 1 year,8,2,2,No,College Basketball,73,22,Spring
8/26/2026 10:13:47,Economics,iPhone,4-6 years,8.5,1,1,No,I don’t watch TV,55,11,Spring
8/26/2026 10:14:16,Statistics,iPhone,< 1 year,7.5,2,2,No,N/A,65,6,Fall
8/26/2026 10:14:54,Astronomy Physics,iPhone,< 1 year,6,4,4,Yes,I don’t watch sports,64,32,Fall
8/26/2026 10:19:11,Mathematics,iPhone,< 1 year,7,1,3,No,College football,77,17,Summer
8/26/2026 10:29:48,Applied Mathematics,iPhone,4-6 years,5.5,2,4,Yes,Basketball,76,39,Fall
8/26/2026 10:42:03,Computational Applied Mathematics and Statistics with Data Science Minor,iPhone,< 1 year,6,3,4,Yes,Basketball,73,11,Winter
8/26/2026 10:50:59,English,iPhone,< 1 year,6,4,4,No,Soccer,70,47,Fall
8/26/2026 11:00:11,Data Science,iPhone,< 1 year,7,5,4,Yes,Soccer,64,20,Fall
8/26/2026 11:01:02,Data Science and Mathematics,iPhone,< 1 year,6.5,5,4,Yes,Football,70,7,Fall
8/26/2026 11:02:29,Computer Science,iPhone,1-3 years,7,5,5,Yes,Football,75,8,Fall
8/26/2026 11:02:46,Math and Computer Science,iPhone,< 1 year,7,4,5,Yes,Football,70,22,Fall
8/26/2026 11:04:34,Computer Science,Android,< 1 year,7,4,4,Yes,Football,70,4,Fall
8/26/2026 11:04:34,Applied Mathematics in Economics,iPhone,< 1 year,7,1,4,No,Basketball,78,25,Fall
8/26/2026 11:05:15,Psychology,iPhone,1-3 years,7,2,2,No,Football,68,15,Fall
8/26/2026 11:05:17,Applied Data Analytics,iPhone,< 1 year,8,3,3,Yes,College Basketball,77,20,Summer
8/26/2026 11:05:31,Computer Science,iPhone,< 1 year,6.5,3,3,No,Basketball,71,9,Fall
8/26/2026 11:06:08,Data Science and Economics,iPhone,< 1 year,8,2,4,No,Baseball and Football,70,34,Summer
8/26/2026 11:07:20,Computer Science,iPhone,4-6 years,7.5,5,4,Yes,Football or MMA,57,26,Spring
8/26/2026 11:07:36,Information Technology: Data Science and Analytics,iPhone,1-3 years,6,3,3,Yes,soccer,79,10,Summer
8/26/2026 11:10:35,Statistics and Linguistics,iPhone,4-6 years,8.5.5,3,3,Yes,Baseball,65,23,Spring
8/26/2026 11:14:14,Sports Management,iPhone,4-6 years,7,1,2,No,Football,73,35,Spring
8/26/2026 11:14:44,Math and Operations Research,iPhone,< 1 year,6,3,4,No,American Football,68,32,Summer
8/26/2026 11:14:44,Computer Science and Data Analytics,iPhone,< 1 year,7,3,3,Yes,Football,68,15,Fall
8/26/2026 11:14:49,Economics,iPhone,1-3 years,7,2,2,Yes,Basketball,75,22,Summer
8/26/2026 11:14:51,Mechanical Engineering,iPhone,1-3 years,8,3,2,No,College Football,65,17,Fall
8/26/2026 11:14:53,Accounting,Android,1-3 years,9,1,1,No,Basketball,73,12,Winter
8/26/2026 11:14:53,Computational & Data Sciences,iPhone,4-6 years,6.5,2,3,Yes,Basketball,75,20,Fall
8/26/2026 11:14:57,Computer Science,iPhone,< 1 year,9,3,4,No,Football or Soccer,68,30,Fall
8/26/2026 11:15:04,Mechanical Engineering,iPhone,1-3 years,7,2,2,Yes,Cricket,77,1,Spring
8/26/2026 11:15:09,Business Administration,iPhone,4-6 years,8.5,3,3,Yes,Soccer,72,5,Spring
8/26/2026 11:15:16,Intelligence Analysis,iPhone,< 1 year,7,2,2,Yes,Tennis,68,14,Fall
8/26/2026 11:15:19,Mathematics and Statistics,iPhone,< 1 year,8,2,2,Yes,Hockey,68,18,Spring
8/26/2026 11:15:22,Computer Science,iPhone,1-3 years,7,5,4,Yes,Football,40,5,Winter
8/26/2026 11:15:24,Mechanical Engineering,iPhone,1-3 years,8,3,4,Yes,Football,67,21,Fall
8/26/2026 11:15:35,Psychology,iPhone,1-3 years,7,3,3,No,College Softball,60,17,Winter
8/26/2026 11:15:40,Information Science and Economics,iPhone,< 1 year,8,4,3,Yes,Lacrosse,68,23,Fall
8/26/2026 11:15:46,Economics,iPhone,< 1 year,7,1,3,Yes,Hockey,68,20,Fall
8/26/2026 11:15:53,Economics and Government,iPhone,< 1 year,7,1,2,No,Rugby,77,25,Summer
8/26/2026 11:15:57,International Economics and Finance,iPhone,1-3 years,8.5,2,2,No,Football or Golf,75,22,Fall
8/26/2026 11:15:59,Economics,iPhone,1-3 years,6,1,3,No,Football,65,13,Fall
8/26/2026 11:16:06,Homayoun Fatehi,iPhone,4-6 years,4,3,3,Yes,Soccer,65,4,Fall
8/26/2026 11:16:10,FinTech and Big Data Analytics,iPhone,< 1 year,7.5,3,3,Yes,Football,70,10,Spring
8/26/2026 11:16:40,Data Science,iPhone,< 1 year,7.5,2,5,Yes,Baseball,75,10,Spring
8/26/2026 11:16:48,Economics,iPhone,7-10 years,8.25,3,2,No,Mountain Bike Racing,75,48,Spring
8/26/2026 11:16:57,Information Systems and Operations Management,iPhone,4-6 years,7,1,2,Yes,Cricket,85,11,Spring
8/26/2026 11:17:17,Economics,iPhone,7-10 years,8,1,2,No,Football,68,24,Fall
8/26/2026 11:18:16,Business Marketing and Management,iPhone,4-6 years,7,2,2,Yes,Baseball and Softball,72,5,Fall
8/26/2026 11:19:28,Computer Science,,< 1 year,6.5,3,3,Yes,Track,73,8,Fall
8/26/2026 11:19:33,Statistics,iPhone,< 1 year,7,1,3,No,College Football,65,23,Spring
8/26/2026 11:42:37,Industrial and Systems Engineering,Android,7-10 years,8.5,4,4,Yes,Football,75,10,Fall
8/26/2026 11:42:57,Bioinformatics and Biology,iPhone,< 1 year,6,2,3,No,Football,40,16,Winter
8/26/2026 11:44:34,Computer Science,iPhone,< 1 year,5,3,3,Yes,Soccer,75,1,Summer
8/26/2026 11:48:23,IT-Concentration in Data Science,iPhone,1-3 years,6.5,3,3,Yes,Soccer and Fustal,68,5,Spring
8/26/2026 11:52:24,Data Science,iPhone,< 1 year,7,4,4,No,Football,63,23,Fall
8/26/2026 12:16:47,English (Education),Android,10+ years,7,1,2,Yes,Superbowl,75,N/A,Fall
